timestep,episodes,mean_reward,mean_score,mean_stage,mean_length,q1_loss,q2_loss,policy_loss,alpha,entropy,eval_stage1_mean_stage,eval_stage1_mean_reward,eval_stage3_mean_stage,eval_stage3_mean_reward,eval_stage5_mean_stage,eval_stage5_mean_reward,eval_overall_mean_stage,eval_overall_mean_reward
47000,52,4420.084105721192,2814.032328664515,1.3269230769230769,899.0576923076923,299.88936004638674,291.383334274292,-688.2842657470703,0.9075869917869568,0.5558781099319458,,,,,,,,
48000,54,4355.895180754344,2780.2133102423536,1.3148148148148149,888.7592592592592,287.8953670501709,297.4337882232666,-692.1499676513672,0.9108895063400269,0.545164667069912,,,,,,,,
49000,55,4315.534436328236,2758.335177859563,1.309090909090909,883.1636363636363,321.02413269042967,299.14208206176755,-693.311489868164,0.9169575572013855,0.5451145640015602,,,,,,,,
50000,56,4290.778171330965,2746.8588078535117,1.3035714285714286,879.25,327.0412329101562,320.73430068969725,-698.0185064697266,0.9391753673553467,0.5468842542171478,,,,,,,,
51000,57,4395.848218997476,2809.946096310872,1.3157894736842106,889.6491228070175,301.59055641174314,318.471661529541,-707.3933642578126,0.9268069863319397,0.5483541670441627,,,,,,,,
52000,58,4380.150091813606,2803.158188344796,1.3103448275862069,889.1896551724138,329.05031211853026,315.95333221435544,-706.6902685546875,0.958113968372345,0.5456787753105163,,,,,,,,
53000,59,4368.966443348485,2794.942779430251,1.305084745762712,888.0338983050848,415.7830372619629,414.6466874694824,-710.6852416992188,0.9734628796577454,0.5558507439494133,,,,,,,,
54000,61,4344.424819230856,2777.326689129692,1.2950819672131149,883.4754098360655,239.22367095947266,233.7750968170166,-713.105474243164,0.9630703330039978,0.5451577621698379,,,,,,,,
55000,62,4301.744233998824,2753.721484508058,1.2903225806451613,878.516129032258,284.6205415344238,281.95532287597655,-717.7512805175782,0.9824177622795105,0.5495526865124702,,,,,,,,
56000,63,4287.070160422008,2743.696591604913,1.2857142857142858,876.3333333333334,498.0450872039795,503.6715858459473,-718.032314453125,1.0023003816604614,0.5420995199680329,,,,,,,,
57000,64,4349.174062170714,2778.78967444343,1.296875,883.46875,429.7962056732178,433.7874626159668,-721.6730639648438,1.0062167644500732,0.560674041211605,,,,,,,,
58000,65,4311.042203325982,2757.9941531589866,1.2923076923076924,878.8153846153846,443.2111935424805,453.10483489990236,-721.0075024414062,1.0084656476974487,0.552170589864254,,,,,,,,
59000,66,4297.008042956678,2751.79983944763,1.2878787878787878,880.3636363636364,459.07870429992676,465.0538789367676,-723.3496661376953,0.992576539516449,0.5443328875303268,,,,,,,,
60000,67,4372.158744456946,2791.433513701689,1.2985074626865671,890.6716417910447,592.989884185791,551.4737377929688,-722.8531463623046,0.9656001329421997,0.5443807184696198,,,,,,,,
61000,68,4417.654602098345,2816.8271461973486,1.3088235294117647,894.8088235294117,318.93559860229493,321.15698127746583,-715.5842309570312,0.9734172821044922,0.5396153226494789,,,,,,,,
62000,70,4367.789078418908,2789.1675639224495,1.3,885.5142857142857,662.246303024292,649.712976989746,-715.6429779052735,0.995922327041626,0.5513001680374146,,,,,,,,
63000,71,4353.980778039604,2779.705075144323,1.295774647887324,884.6056338028169,372.150368270874,385.8946771240234,-720.0503985595703,0.988736093044281,0.5393926927447319,,,,,,,,
64000,72,4317.335158689453,2759.532657785415,1.2916666666666667,880.9444444444445,475.4059120941162,431.7860688781738,-718.6068670654297,0.9970455765724182,0.5600208279490471,,,,,,,,
65000,73,4353.688955061531,2781.050399167279,1.3013698630136987,883.6849315068494,325.9263369750977,325.7261957550049,-716.8796746826172,0.9878771305084229,0.5548174601793289,,,,,,,,
66000,75,4298.206043328427,2748.8230224334975,1.2933333333333332,875.84,497.68658447265625,520.568158569336,-712.5784838867188,0.9872658252716064,0.5445979642868042,,,,,,,,
67000,77,4263.320806925482,2731.883181945276,1.2857142857142858,870.025974025974,345.32419296264646,356.9740668487549,-708.3644342041016,0.9698989391326904,0.5483778876066208,,,,,,,,
68000,77,4263.320806925482,2731.883181945276,1.2857142857142858,870.025974025974,398.48376007080077,410.6950564575195,-710.236875,0.9823492169380188,0.5514425253868103,,,,,,,,
69000,79,4295.219372177471,2745.1701490725136,1.2911392405063291,871.9493670886076,524.1895928955078,524.4985372924805,-707.1845068359376,0.9730294346809387,0.5521070319414139,,,,,,,,
70000,80,4287.035364082435,2739.2043191137973,1.2875,870.8125,344.5445957946777,290.70820068359376,-700.74990234375,0.9760176539421082,0.5448780459165573,,,,,,,,
71000,81,4328.666420584337,2759.6631087794785,1.2962962962962963,874.0246913580247,306.65611923217773,300.80289558410647,-705.3587799072266,0.9779350161552429,0.553172976076603,,,,,,,,
72000,82,4318.743948082347,2752.614457782631,1.2926829268292683,872.6463414634146,426.76663009643556,507.7274756622314,-701.8806939697265,1.007667899131775,0.541283605992794,,,,,,,,
73000,82,4318.743948082347,2752.614457782631,1.2926829268292683,872.6463414634146,439.305679473877,453.26885971069333,-701.4669018554688,0.9830014109611511,0.5454953336715698,,,,,,,,
74000,84,4369.854848973579,2778.5471123636444,1.2976190476190477,878.8095238095239,431.27530128479003,489.5990756225586,-699.7219610595703,1.0021668672561646,0.5370588251948356,,,,,,,,
75000,84,4369.854848973579,2778.5471123636444,1.2976190476190477,878.8095238095239,553.8937558746338,473.155034866333,-698.5962164306641,0.9900425672531128,0.5587639749050141,,,,,,,,
76000,85,4417.723986814936,2805.6279943419095,1.3058823529411765,884.8352941176471,602.4472400665284,555.5758158874512,-692.3865850830078,0.9849953055381775,0.5536045581102371,,,,,,,,
77000,86,4467.939382331241,2829.1631232995046,1.313953488372093,889.5581395348837,552.9725866699218,533.8760333251953,-687.0670251464844,0.9776086807250977,0.5542991882562638,,,,,,,,
78000,86,4467.939382331241,2829.1631232995046,1.313953488372093,889.5581395348837,523.2707516479492,568.2852365112304,-681.8489593505859,0.9596980214118958,0.5462605854868889,,,,,,,,
79000,87,4526.152285354064,2863.349928317687,1.3218390804597702,897.8390804597701,383.460097579956,349.0896083831787,-684.275361328125,0.9527589678764343,0.5500000241398811,,,,,,,,
80000,88,4550.608022342622,2877.2413765202623,1.3295454545454546,900.5113636363636,597.8990148162842,641.2260317993164,-680.4136877441406,0.9276595711708069,0.5675992769002914,,,,,,,,
81000,89,4581.564005887822,2894.7941481772714,1.3370786516853932,904.438202247191,535.2587454986573,552.1550592803956,-678.1745318603515,0.9922789335250854,0.5411848309636116,,,,,,,,
82000,90,4573.309914582415,2891.873611639987,1.3333333333333333,903.7111111111111,434.25802810668944,439.0532763671875,-675.5745892333985,0.9355932474136353,0.552897471189499,,,,,,,,
83000,91,4602.335871548783,2909.253073256582,1.3406593406593406,906.1758241758242,439.1732218170166,432.1814225769043,-667.9717199707031,0.9489709734916687,0.560743301808834,,,,,,,,
84000,92,4645.158891161922,2931.6950327719114,1.3478260869565217,911.5760869565217,408.49332023620605,373.48254898071286,-668.9837420654297,0.959723174571991,0.5563832014799118,,,,,,,,
85000,93,4622.61288145001,2917.6137903718195,1.3440860215053763,908.9032258064516,357.90699241638185,322.30739669799806,-672.1675286865234,0.9632807970046997,0.5440674674510956,,,,,,,,
86000,94,4612.1650740083005,2910.7844255561754,1.3404255319148937,907.1595744680851,397.18284919738767,378.83497497558596,-668.0842041015625,0.936538815498352,0.5550391668081284,,,,,,,,
87000,94,4612.1650740083005,2910.7844255561754,1.3404255319148937,907.1595744680851,341.0057932281494,349.1516581726074,-672.4628533935547,0.938572108745575,0.5427186334133148,,,,,,,,
88000,96,4711.978181180097,2969.461662587047,1.3541666666666667,915.8541666666666,497.75718353271486,436.9002798461914,-669.7985424804688,0.889987051486969,0.5557763403654099,,,,,,,,
89000,97,4693.169405229853,2959.549064663611,1.3505154639175259,913.020618556701,389.69752716064454,405.02864883422853,-673.3683813476563,0.9150791764259338,0.5505601006746292,,,,,,,,
90000,98,4672.521789788053,2948.6126425267084,1.346938775510204,910.0408163265306,488.29668601989744,377.6433396911621,-668.6374127197265,0.9094341993331909,0.545939659178257,,,,,,,,
91000,99,4704.894641798355,2962.612365999878,1.3535353535353536,912.3636363636364,508.7754383087158,526.1929400634766,-672.8209252929687,0.9082464575767517,0.5540207353234291,,,,,,,,
92000,100,4754.9349669743915,2991.8682697108143,1.36,919.53,399.7971482086182,388.5285417175293,-668.6251202392579,0.9130731821060181,0.5455856543779373,,,,,,,,
93000,101,4778.353944612192,3003.613035240209,1.36,921.13,578.0617010498047,588.5124502563476,-671.328359375,0.918760359287262,0.5486949738860131,,,,,,,,
94000,102,4787.326570355189,3008.8822927564433,1.36,920.93,465.9261902618408,395.30101669311523,-662.8651568603516,0.9052313566207886,0.5440765780210495,,,,,,,,
95000,103,4802.301777312527,3014.7641247351658,1.36,922.98,472.4335876464844,500.2076204681396,-662.1740002441406,0.9156892895698547,0.5491697770357132,,,,,,,,
96000,104,4823.511936875712,3027.230623051069,1.36,924.98,588.184951171875,577.2501965332032,-658.624638671875,0.9156950116157532,0.5568471956253052,,,,,,,,
97000,105,4871.977322666809,3053.2739705637,1.37,927.42,465.1638928222656,395.2797428131104,-658.6477185058594,0.9075666666030884,0.5586364442110061,,,,,,,,
98000,105,4871.977322666809,3053.2739705637,1.37,927.42,672.789764099121,881.6075093078613,-655.493812866211,0.915492832660675,0.5476610466837883,,,,,,,,
99000,106,5021.662224161542,3136.2635310484143,1.39,942.76,556.4563255310059,678.6677430725098,-653.7005676269531,0.8912217020988464,0.5429137018322945,,,,,,,,
100000,108,4978.803804453808,3109.576477699344,1.38,936.4,377.6084666442871,440.05292152404786,-654.7441241455078,0.9050811529159546,0.5479978623986245,,,,,,,,
101000,108,4978.803804453808,3109.576477699344,1.38,936.4,396.8922120666504,416.7390316772461,-654.7661212158204,0.8897046446800232,0.5569908654689789,,,,,,,,
102000,110,4903.242740547354,3071.4119418507516,1.37,927.64,490.14435440063477,423.58161720275876,-653.6179345703125,0.9077574014663696,0.5395320039987564,,,,,,,,
103000,111,4945.474364185809,3094.5895962501077,1.38,931.45,342.60791786193846,366.44366149902345,-653.1146337890625,0.8741635084152222,0.5413479697704315,,,,,,,,
104000,111,4945.474364185809,3094.5895962501077,1.38,931.45,392.5793408966064,403.28936073303225,-649.8000506591796,0.9009851217269897,0.5544000151753425,,,,,,,,
105000,112,5005.395784998448,3123.2836747048646,1.39,939.03,371.4901589202881,312.90844665527345,-652.3496569824218,0.912488579750061,0.5609834697842598,,,,,,,,
106000,113,5058.089439709812,3150.1896417678677,1.4,943.93,378.16933769226074,363.5939197540283,-652.0235186767578,0.8944052457809448,0.5528308033943177,,,,,,,,
107000,114,5061.496701701386,3152.3880221950294,1.4,943.21,396.2175979614258,298.6446122741699,-645.2050073242187,0.8888220191001892,0.5506426739692688,,,,,,,,
108000,115,5114.248785476684,3179.1690605427452,1.41,948.54,278.93257720947264,315.74901458740237,-646.2443212890626,0.8860560655593872,0.5539104467630387,,,,,,,,
109000,118,5052.917615332624,3141.968926462488,1.4,936.81,322.37495208740233,343.5274885559082,-646.3675939941406,0.871475338935852,0.5495945221185684,,,,,,,,
110000,119,5019.009026218474,3124.6109214686903,1.39,932.72,343.645961227417,327.4517517089844,-648.4252624511719,0.8653225302696228,0.5557431304454803,,,,,,,,
111000,120,5036.3676374995985,3134.7746907771175,1.39,933.52,343.7479415130615,364.69609062194826,-644.0559973144532,0.8731419444084167,0.5491535821557045,,,,,,,,
112000,122,5044.695887833614,3142.218870598103,1.39,935.99,317.43553924560547,287.49155792236326,-642.2203405761719,0.8460137248039246,0.555578821003437,,,,,,,,
113000,123,5028.327145634758,3131.910534501994,1.39,932.99,432.39132011413574,427.9717475891113,-643.6907464599609,0.8755678534507751,0.5433947920799256,,,,,,,,
114000,124,5032.963878587584,3132.844481240973,1.39,933.99,421.3426849365234,394.59792808532717,-640.688715209961,0.8490737080574036,0.5568637734651566,,,,,,,,
115000,125,5047.051167856235,3141.1261073562287,1.39,936.24,386.04121765136716,367.5002109527588,-639.8388232421875,0.8537011742591858,0.554920996427536,,,,,,,,
116000,126,5096.147793332693,3164.9227646570243,1.4,940.2,281.7724094390869,342.8422075653076,-638.855238647461,0.8593491911888123,0.5557229515910148,,,,,,,,
117000,127,5156.187419521463,3196.382240990197,1.41,948.18,276.0990295410156,289.95349266052244,-641.9094073486328,0.8721860647201538,0.539559516608715,,,,,,,,
118000,128,5207.955843394268,3226.9366570428324,1.42,954.03,334.3942401123047,364.28103240966794,-641.1608972167969,0.8647496104240417,0.5442529782652855,,,,,,,,
119000,129,5179.151240619873,3214.0163974148295,1.41,953.2,248.36759613037108,268.2175534820557,-640.5912072753906,0.856420636177063,0.5558083707094192,,,,,,,,
120000,130,5201.646841186468,3225.4518458983207,1.41,954.55,364.3082236480713,386.0156623840332,-638.0452795410156,0.8466265201568604,0.5390325048565865,,,,,,,,
